10 2.108478546142578 [4,17], free 1.0 [4,17], free 1.0
13 2.7789511680603027 [144,43], free 1.0 [144,43], free 1.0
13 3.6400468349456787 [46,37], free 1.0 [46,37], free 1.0
22 5.544212579727173 [38,31], free 1.0 [38,31], free 1.0
13 4.40513801574707 [85,33], free 1.0 [85,33], free 1.0
9 3.2235612869262695 [14,13], free 1.0 [14,13], free 1.0
8 2.242302656173706 [107,41], free 1.0 [107,41], free 1.0
19 5.440764665603638 [31,36], free 1.0 [31,36], free 1.0
28 7.582287788391113 [109,36], free 1.0 [109,36], free 1.0
4 0.9117600917816162 [125,23], free 1.0 [125,23], free 1.0
17 3.5852324962615967 [82,9], free 1.0 [82,9], free 1.0
8 1.649953842163086 [44,10], free 1.0 [44,10], free 1.0
5 1.0406863689422607 [84,52], free 1.0 [84,52], free 1.0
33 10.582702398300171 [105,37], free 1.0 [105,37], free 1.0
7 2.118011474609375 [111,19], free 1.0 [111,19], free 1.0
13 4.8255298137664795 [126,42], free 1.0 [126,42], free 1.0
18 4.625608682632446 [141,31], free 1.0 [141,31], free 1.0
6 1.2355566024780273 [33,15], free 1.0 [33,15], free 1.0
11 3.1538264751434326 [135,7], free 1.0 [135,7], free 1.0
11 3.0844550132751465 [14,42], free 1.0 [14,42], free 1.0
17 6.478776693344116 [148,42], free 1.0 [148,42], free 1.0
13 4.8690009117126465 [29,24], free 1.0 [29,24], free 1.0
13 3.5019493103027344 [43,47], free 1.0 [43,47], free 1.0
19 6.398706436157227 [91,45], free 1.0 [91,45], free 1.0
9 2.9455103874206543 [47,21], free 1.0 [47,21], free 1.0
11 4.250272035598755 [53,12], free 1.0 [53,12], free 1.0
16 3.871792793273926 [80,4], free 1.0 [80,4], free 1.0
3 0.7633881568908691 [145,25], free 1.0 [145,25], free 1.0
10 2.979093313217163 [133,25], free 1.0 [133,25], free 1.0
8 1.8455429077148438 [121,37], free 1.0 [121,37], free 1.0
10 2.1023454666137695 [113,16], free 1.0 [113,16], free 1.0
9 1.9107742309570312 [153,23], free 1.0 [153,23], free 1.0
10 2.0965375900268555 [92,3], free 1.0 [92,3], free 1.0
13 2.7434682846069336 [53,41], free 1.0 [53,41], free 1.0
42 9.51014757156372 [77,33], free 1.0 [77,33], free 1.0
12 2.510874032974243 [85,46], free 1.0 [85,46], free 1.0
14 3.0438907146453857 [38,1], free 1.0 [38,1], free 1.0
16 3.2883567810058594 [49,7], free 1.0 [49,7], free 1.0
6 1.2770020961761475 [62,48], free 1.0 [62,48], free 1.0
5 1.0915422439575195 [147,32], free 1.0 [147,32], free 1.0
7 1.5844926834106445 [78,40], free 1.0 [78,40], free 1.0
23 4.897073030471802 [1,49], free 1.0 [1,49], free 1.0
7 1.456195592880249 [40,48], free 1.0 [40,48], free 1.0
32 7.769614934921265 [99,23], free 1.0 [99,23], free 1.0
23 4.910853147506714 [92,46], free 1.0 [92,46], free 1.0
10 2.117738723754883 [96,33], free 1.0 [96,33], free 1.0
7 2.2951619625091553 [59,23], free 1.0 [59,23], free 1.0
12 4.0300211906433105 [87,17], free 1.0 [87,17], free 1.0
9 2.8713009357452393 [137,53], free 1.0 [137,53], free 1.0
7 2.037731409072876 [51,36], free 1.0 [51,36], free 1.0
7 2.3621928691864014 [53,33], free 1.0 [53,33], free 1.0
4 1.5871553421020508 [45,31], free 1.0 [45,31], free 1.0
9 2.4675722122192383 [23,27], free 1.0 [23,27], free 1.0
5 1.0944092273712158 [12,14], free 1.0 [12,14], free 1.0
10 2.2421646118164062 [4,2], free 1.0 [4,2], free 1.0
6 1.3554742336273193 [72,33], free 1.0 [72,33], free 1.0
11 2.4918277263641357 [71,5], free 1.0 [71,5], free 1.0
2 0.6945934295654297 [141,37], free 1.0 [141,37], free 1.0
11 3.787033796310425 [5,50], free 1.0 [5,50], free 1.0
9 2.1068458557128906 [75,41], free 1.0 [75,41], free 1.0
9 2.0217459201812744 [23,9], free 1.0 [23,9], free 1.0
17 3.7135088443756104 [149,1], free 1.0 [149,1], free 1.0
11 2.380821704864502 [57,13], free 1.0 [57,13], free 1.0
5 1.240929365158081 [148,21], free 1.0 [148,21], free 1.0
76 17.496115922927856 [55,50], free 1.0 [55,50], free 1.0
4 0.8332853317260742 [88,6], free 1.0 [88,6], free 1.0
19 4.031377553939819 [93,43], free 1.0 [93,43], free 1.0
10 2.106440305709839 [90,31], free 1.0 [90,31], free 1.0
5 1.088714361190796 [26,21], free 1.0 [26,21], free 1.0
10 2.219771385192871 [5,51], free 1.0 [5,51], free 1.0
14 2.985067129135132 [121,45], free 1.0 [121,45], free 1.0
8 1.7191188335418701 [35,33], free 1.0 [35,33], free 1.0
