5 1.05299496650696 [148,43], free 1 [148,43], free 1
8 1.9419584274292 [50,27], free 1 [50,27], free 1
18 3.77590274810791 [133,49], free 1 [133,49], free 1
6 1.30276393890381 [139,10], free 1 [139,10], free 1
5 1.32227945327759 [98,29], free 1 [98,29], free 1
7 2.23131036758423 [131,27], free 1 [131,27], free 1
30 7.89477777481079 [43,47], free 1 [43,47], free 1
40 11.3354830741882 [129,38], free 1 [129,38], free 1
24 7.18441271781921 [99,2], free 1 [99,2], free 1
9 2.01633477210999 [127,31], free 1 [127,31], free 1
10 3.15795660018921 [121,41], free 1 [121,41], free 1
9 1.87865900993347 [138,51], free 1 [138,51], free 1
7 2.03966760635376 [79,40], free 1 [79,40], free 1
9 2.16179800033569 [141,45], free 1 [141,45], free 1
8 1.63994359970093 [67,19], free 1 [67,19], free 1
7 1.46529674530029 [72,33], free 1 [72,33], free 1
8 1.77295970916748 [153,3], free 1 [153,3], free 1
9 2.06877732276916 [64,12], free 1 [64,12], free 1
12 2.6253674030304 [73,32], free 1 [73,32], free 1
15 3.23799562454224 [75,3], free 1 [75,3], free 1
26 6.36305165290833 [42,53], free 1 [42,53], free 1
18 4.62718486785889 [146,43], free 1 [146,43], free 1
5 1.85235214233398 [66,13], free 1 [66,13], free 1
13 3.08630585670471 [67,25], free 1 [67,25], free 1
3 0.629198551177979 [8,9], free 1 [8,9], free 1
23 4.82084369659424 [61,25], free 1 [61,25], free 1
5 1.03876996040344 [83,19], free 1 [83,19], free 1
12 2.61142301559448 [149,29], free 1 [149,29], free 1
5 1.06173515319824 [82,31], free 1 [82,31], free 1
20 4.60611081123352 [133,45], free 1 [133,45], free 1
4 0.809183597564697 [31,20], free 1 [31,20], free 1
19 3.94603872299194 [103,49], free 1 [103,49], free 1
4 0.846269607543945 [131,38], free 1 [131,38], free 1
61 13.2979562282562 [148,53], free 1 [148,53], free 1
6 1.25641870498657 [99,3], free 1 [99,3], free 1
7 1.45640921592712 [47,7], free 1 [47,7], free 1
18 3.74662184715271 [83,1], free 1 [83,1], free 1
6 1.25505518913269 [63,52], free 1 [63,52], free 1
11 2.4075083732605 [123,17], free 1 [123,17], free 1
5 1.27964520454407 [21,7], free 1 [21,7], free 1
9 1.97550225257874 [89,11], free 1 [89,11], free 1
11 2.28706002235413 [120,19], free 1 [120,19], free 1
7 1.47092390060425 [150,41], free 1 [150,41], free 1
9 1.8548276424408 [71,51], free 1 [71,51], free 1
3 0.625943899154663 [55,34], free 1 [55,34], free 1
6 1.24641036987305 [88,4], free 1 [88,4], free 1
4 0.815487384796143 [86,23], free 1 [86,23], free 1
13 2.70346474647522 [70,29], free 1 [70,29], free 1
19 4.11123824119568 [119,33], free 1 [119,33], free 1
4 0.898095607757568 [131,50], free 1 [131,50], free 1
12 2.73652958869934 [28,8], free 1 [28,8], free 1
7 1.42381024360657 [72,35], free 1 [72,35], free 1
8 1.65992307662964 [115,31], free 1 [115,31], free 1
8 1.78367567062378 [105,29], free 1 [105,29], free 1
3 0.616132736206055 [141,18], free 1 [141,18], free 1
3 0.605836629867554 [22,49], free 1 [22,49], free 1
5 1.04185271263123 [121,28], free 1 [121,28], free 1
11 2.39607310295105 [96,27], free 1 [96,27], free 1
16 3.47376608848572 [45,23], free 1 [45,23], free 1
11 2.28529119491577 [31,35], free 1 [31,35], free 1
5 1.01694869995117 [129,3], free 1 [129,3], free 1
22 4.7295401096344 [14,5], free 1 [14,5], free 1
13 2.70719075202942 [75,27], free 1 [75,27], free 1
