60 1.4204273223876953 Robot: (11, 35, [1, 0, 0, 1]) Solution: [11, 35] [1, 0, 0, 1]
13 0.31050562858581543 Robot: (24, 25, [1, 0, 0, 0]) Solution: [24, 25] [1, 0, 0, 0]
16 0.3858013153076172 Robot: (14, 27, [0, 0, 0, 0]) Solution: [14, 27] [0, 0, 0, 0]
21 0.49726104736328125 Robot: (20, 31, [1, 0, 1, 0]) Solution: [20, 31] [1, 0, 1, 0]
10 0.24312210083007812 Robot: (17, 32, [0, 0, 0, 0]) Solution: [17, 32] [0, 0, 0, 0]
22 0.528430700302124 Robot: (25, 6, [0, 1, 0, 1]) Solution: [25, 6] [0, 1, 0, 1]
11 0.26545071601867676 Robot: (5, 9, [1, 0, 0, 1]) Solution: [5, 9] [1, 0, 0, 1]
16 0.38387274742126465 Robot: (17, 15, [0, 1, 0, 0]) Solution: [17, 15] [0, 1, 0, 0]
9 0.22050142288208008 Robot: (23, 25, [0, 0, 0, 0]) Solution: [23, 25] [0, 0, 0, 0]
29 0.6906588077545166 Robot: (9, 29, [0, 1, 0, 0]) Solution: [9, 29] [0, 1, 0, 0]
39 0.9215996265411377 Robot: (30, 15, [1, 0, 0, 0]) Solution: [30, 15] [1, 0, 0, 0]
18 0.44409608840942383 Robot: (29, 29, [1, 0, 1, 0]) Solution: [29, 29] [1, 0, 1, 0]
17 0.40628576278686523 Robot: (8, 25, [0, 0, 1, 0]) Solution: [8, 25] [0, 0, 1, 0]
15 0.356792688369751 Robot: (13, 33, [1, 1, 0, 0]) Solution: [13, 33] [1, 1, 0, 0]
13 0.3140530586242676 Robot: (24, 31, [1, 0, 0, 0]) Solution: [24, 31] [1, 0, 0, 0]
17 0.40312981605529785 Robot: (14, 30, [0, 0, 0, 0]) Solution: [14, 30] [0, 0, 0, 0]
18 0.4311063289642334 Robot: (9, 35, [0, 1, 1, 0]) Solution: [9, 35] [0, 1, 1, 0]
24 0.573030948638916 Robot: (25, 26, [0, 1, 0, 0]) Solution: [25, 26] [0, 1, 0, 0]
15 0.3639397621154785 Robot: (16, 29, [1, 0, 0, 0]) Solution: [16, 29] [1, 0, 0, 0]
18 0.42595362663269043 Robot: (17, 22, [0, 1, 0, 1]) Solution: [17, 22] [0, 1, 0, 1]
52 1.229992151260376 Robot: (19, 37, [1, 0, 1, 0]) Solution: [19, 37] [1, 0, 1, 0]
15 0.3598291873931885 Robot: (1, 37, [0, 0, 1, 1]) Solution: [1, 37] [0, 0, 1, 1]
15 0.34938526153564453 Robot: (1, 12, [0, 0, 0, 1]) Solution: [1, 12] [0, 0, 0, 1]
16 0.38608527183532715 Robot: (25, 7, [0, 0, 0, 0]) Solution: [25, 7] [0, 0, 0, 0]
13 0.3084261417388916 Robot: (9, 8, [0, 0, 0, 0]) Solution: [9, 8] [0, 0, 0, 0]
12 0.2906839847564697 Robot: (30, 6, [0, 0, 0, 1]) Solution: [30, 6] [0, 0, 0, 1]
22 1.00685453414917 Robot: (14, 15, [1, 0, 0, 0]) Solution: [14, 15] [1, 0, 0, 0]
38 1.9070205688476562 Robot: (10, 23, [0, 0, 1, 0]) Solution: [10, 23] [0, 0, 1, 0]
33 1.6533708572387695 Robot: (29, 9, [0, 0, 0, 1]) Solution: [29, 9] [0, 0, 0, 1]
31 1.5762510299682617 Robot: (6, 11, [1, 0, 1, 0]) Solution: [6, 11] [1, 0, 1, 0]
18 0.8980038166046143 Robot: (24, 32, [0, 1, 0, 1]) Solution: [24, 32] [0, 1, 0, 1]
22 1.1101438999176025 Robot: (9, 17, [0, 1, 0, 1]) Solution: [9, 17] [0, 1, 0, 1]
13 0.6531569957733154 Robot: (13, 30, [0, 0, 0, 0]) Solution: [13, 30] [0, 0, 0, 0]
57 2.8807694911956787 Robot: (13, 13, [1, 0, 1, 0]) Solution: [13, 13] [1, 0, 1, 0]
11 0.5489606857299805 Robot: (8, 36, [0, 1, 0, 0]) Solution: [8, 36] [0, 1, 0, 0]
16 0.8146963119506836 Robot: (9, 34, [0, 0, 0, 0]) Solution: [9, 34] [0, 0, 0, 0]
16 0.8035581111907959 Robot: (15, 5, [1, 1, 0, 0]) Solution: [15, 5] [1, 1, 0, 0]
22 1.1043939590454102 Robot: (15, 24, [0, 1, 0, 1]) Solution: [15, 24] [0, 1, 0, 1]
16 0.8000943660736084 Robot: (2, 31, [1, 0, 1, 0]) Solution: [2, 31] [1, 0, 1, 0]
14 0.7042241096496582 Robot: (22, 24, [0, 0, 0, 0]) Solution: [22, 24] [0, 0, 0, 0]
14 0.7016885280609131 Robot: (15, 6, [0, 1, 0, 1]) Solution: [15, 6] [0, 1, 0, 1]
11 0.551926851272583 Robot: (17, 21, [1, 0, 0, 0]) Solution: [17, 21] [1, 0, 0, 0]
16 0.8059310913085938 Robot: (2, 19, [0, 0, 1, 0]) Solution: [2, 19] [0, 0, 1, 0]
21 1.0499322414398193 Robot: (9, 9, [0, 1, 1, 0]) Solution: [9, 9] [0, 1, 1, 0]
10 0.49801182746887207 Robot: (11, 27, [0, 1, 0, 0]) Solution: [11, 27] [0, 1, 0, 0]
20 1.0006968975067139 Robot: (16, 32, [0, 0, 1, 0]) Solution: [16, 32] [0, 0, 1, 0]
21 1.0551650524139404 Robot: (9, 35, [0, 1, 1, 0]) Solution: [9, 35] [0, 1, 1, 0]
16 0.8015801906585693 Robot: (25, 3, [0, 0, 1, 1]) Solution: [25, 3] [0, 0, 1, 1]
18 0.9064574241638184 Robot: (9, 6, [0, 1, 0, 1]) Solution: [9, 6] [0, 1, 0, 1]
13 0.6668012142181396 Robot: (25, 23, [1, 0, 1, 0]) Solution: [25, 23] [1, 0, 1, 0]
27 1.3694531917572021 Robot: (14, 20, [1, 0, 0, 1]) Solution: [14, 20] [1, 0, 0, 1]
15 0.6131269931793213 Robot: (27, 17, [0, 0, 0, 0]) Solution: [27, 17] [0, 0, 0, 0]
18 0.4450349807739258 Robot: (5, 35, [0, 1, 0, 0]) Solution: [5, 35] [0, 1, 0, 0]
33 0.9302182197570801 Robot: (21, 7, [0, 0, 1, 0]) Solution: [21, 7] [0, 0, 1, 0]
25 0.6039266586303711 Robot: (21, 5, [1, 0, 0, 0]) Solution: [21, 5] [1, 0, 0, 0]
19 0.4611365795135498 Robot: (2, 7, [0, 0, 1, 0]) Solution: [2, 7] [0, 0, 1, 0]
16 0.4316263198852539 Robot: (28, 32, [0, 1, 1, 0]) Solution: [28, 32] [0, 1, 1, 0]
19 0.5879127979278564 Robot: (7, 26, [0, 1, 0, 1]) Solution: [7, 26] [0, 1, 0, 1]
22 0.5533154010772705 Robot: (27, 11, [1, 1, 0, 0]) Solution: [27, 11] [1, 1, 0, 0]
20 0.5276491641998291 Robot: (26, 32, [0, 0, 1, 1]) Solution: [26, 32] [0, 0, 1, 1]
22 0.6497516632080078 Robot: (10, 34, [1, 1, 1, 0]) Solution: [10, 34] [1, 1, 1, 0]
