6 0.13094758987426758 Robot: (20, 4, [0, 1, 0, 0]) Solution: [20, 4] [0, 1, 0, 0]
4 0.09013175964355469 Robot: (22, 25, [0, 0, 1, 0]) Solution: [22, 25] [0, 0, 1, 0]
11 0.24901795387268066 Robot: (10, 23, [0, 0, 1, 0]) Solution: [10, 23] [0, 0, 1, 0]
9 0.20097565650939941 Robot: (2, 15, [1, 0, 0, 0]) Solution: [2, 15] [1, 0, 0, 0]
3 0.06896376609802246 Robot: (10, 32, [1, 0, 1, 1]) Solution: [10, 32] [1, 0, 1, 1]
3 0.07195615768432617 Robot: (2, 11, [0, 0, 0, 0]) Solution: [2, 11] [0, 0, 0, 0]
10 0.22113561630249023 Robot: (7, 9, [0, 0, 0, 0]) Solution: [7, 9] [0, 0, 0, 0]
6 0.13304972648620605 Robot: (26, 23, [1, 0, 0, 0]) Solution: [26, 23] [1, 0, 0, 0]
7 0.15014410018920898 Robot: (21, 35, [0, 0, 0, 0]) Solution: [21, 35] [0, 0, 0, 0]
4 0.0857243537902832 Robot: (29, 27, [1, 0, 1, 0]) Solution: [29, 27] [1, 0, 1, 0]
17 0.3608973026275635 Robot: (19, 23, [0, 0, 0, 1]) Solution: [19, 23] [0, 0, 0, 1]
45 0.9916355609893799 Robot: (1, 4, [0, 0, 0, 1]) Solution: [1, 4] [0, 0, 0, 1]
15 0.3314096927642822 Robot: (7, 15, [1, 0, 0, 0]) Solution: [7, 15] [1, 0, 0, 0]
9 0.21414780616760254 Robot: (31, 33, [0, 1, 0, 0]) Solution: [31, 33] [0, 1, 0, 0]
6 0.1286921501159668 Robot: (20, 16, [0, 1, 0, 1]) Solution: [20, 16] [0, 1, 0, 1]
8 0.18121814727783203 Robot: (22, 33, [1, 0, 1, 0]) Solution: [22, 33] [1, 0, 1, 0]
7 0.14567780494689941 Robot: (13, 27, [0, 0, 1, 1]) Solution: [13, 27] [0, 0, 1, 1]
4 0.08796262741088867 Robot: (25, 34, [0, 1, 0, 1]) Solution: [25, 34] [0, 1, 0, 1]
11 0.22990870475769043 Robot: (25, 15, [1, 0, 0, 0]) Solution: [25, 15] [1, 0, 0, 0]
5 0.10714268684387207 Robot: (16, 31, [0, 0, 0, 0]) Solution: [16, 31] [0, 0, 0, 0]
4 0.0845041275024414 Robot: (5, 33, [0, 0, 0, 0]) Solution: [5, 33] [0, 0, 0, 0]
4 0.08722949028015137 Robot: (27, 15, [1, 0, 0, 0]) Solution: [27, 15] [1, 0, 0, 0]
3 0.06685757637023926 Robot: (13, 23, [0, 0, 1, 0]) Solution: [13, 23] [0, 0, 1, 0]
16 0.33820390701293945 Robot: (13, 15, [1, 0, 0, 0]) Solution: [13, 15] [1, 0, 0, 0]
6 0.1379222869873047 Robot: (29, 29, [1, 0, 1, 0]) Solution: [29, 29] [1, 0, 1, 0]
2 0.04461169242858887 Robot: (27, 9, [0, 1, 1, 0]) Solution: [27, 9] [0, 1, 1, 0]
4 0.13373160362243652 Robot: (7, 5, [0, 0, 1, 1]) Solution: [7, 5] [0, 0, 1, 1]
7 0.2048661708831787 Robot: (16, 11, [1, 0, 0, 0]) Solution: [16, 11] [1, 0, 0, 0]
1 0.046361684799194336 Robot: (1, 16, [0, 0, 0, 1]) Solution: [1, 16] [0, 0, 0, 1]
7 0.18609118461608887 Robot: (10, 27, [1, 0, 0, 0]) Solution: [10, 27] [1, 0, 0, 0]
5 0.11754870414733887 Robot: (23, 25, [0, 0, 0, 0]) Solution: [23, 25] [0, 0, 0, 0]
5 0.11352038383483887 Robot: (5, 11, [0, 0, 1, 1]) Solution: [5, 11] [0, 0, 1, 1]
7 0.15217804908752441 Robot: (2, 5, [0, 0, 0, 0]) Solution: [2, 5] [0, 0, 0, 0]
5 0.11078739166259766 Robot: (19, 29, [0, 1, 0, 0]) Solution: [19, 29] [0, 1, 0, 0]
12 0.2573366165161133 Robot: (15, 12, [0, 0, 0, 1]) Solution: [15, 12] [0, 0, 0, 1]
5 0.1146554946899414 Robot: (11, 25, [0, 1, 0, 0]) Solution: [11, 25] [0, 1, 0, 0]
51 1.2040157318115234 Robot: (20, 37, [1, 0, 1, 0]) Solution: [20, 37] [1, 0, 1, 0]
9 0.1916811466217041 Robot: (2, 3, [1, 0, 0, 0]) Solution: [2, 3] [1, 0, 0, 0]
3 0.06600284576416016 Robot: (2, 6, [0, 1, 0, 0]) Solution: [2, 6] [0, 1, 0, 0]
18 0.38375186920166016 Robot: (17, 23, [0, 1, 0, 0]) Solution: [17, 23] [0, 1, 0, 0]
3 0.08792710304260254 Robot: (11, 15, [0, 0, 0, 1]) Solution: [11, 15] [0, 0, 0, 1]
5 0.13428688049316406 Robot: (21, 13, [0, 0, 0, 0]) Solution: [21, 13] [0, 0, 0, 0]
15 0.35378575325012207 Robot: (3, 22, [0, 0, 0, 0]) Solution: [3, 22] [0, 0, 0, 0]
3 0.06980776786804199 Robot: (10, 10, [1, 1, 0, 1]) Solution: [10, 10] [1, 1, 0, 1]
8 0.16642427444458008 Robot: (11, 35, [1, 0, 0, 1]) Solution: [11, 35] [1, 0, 0, 1]
5 0.1076657772064209 Robot: (24, 33, [0, 0, 1, 0]) Solution: [24, 33] [0, 0, 1, 0]
8 0.18818116188049316 Robot: (14, 20, [1, 0, 0, 1]) Solution: [14, 20] [1, 0, 0, 1]
7 0.14751887321472168 Robot: (28, 17, [0, 0, 1, 0]) Solution: [28, 17] [0, 0, 1, 0]
6 0.1319892406463623 Robot: (30, 29, [1, 0, 0, 0]) Solution: [30, 29] [1, 0, 0, 0]
9 0.1876513957977295 Robot: (19, 31, [0, 0, 1, 0]) Solution: [19, 31] [0, 0, 1, 0]
2 0.047142744064331055 Robot: (25, 3, [0, 0, 1, 1]) Solution: [25, 3] [0, 0, 1, 1]
15 0.33249449729919434 Robot: (28, 37, [0, 0, 1, 0]) Solution: [28, 37] [0, 0, 1, 0]
13 0.4110095500946045 Robot: (31, 37, [0, 1, 1, 0]) Solution: [31, 37] [0, 1, 1, 0]
12 0.32610321044921875 Robot: (24, 27, [0, 0, 1, 0]) Solution: [24, 27] [0, 0, 1, 0]
