5 0.8559994697570801 Robot: (41, 8, [0, 0, 0, 1]) Solution: [41, 8] [0, 0, 0, 1]
4 1.3714790344238281 Robot: (1, 23, [0, 1, 0, 1]) Solution: [1, 23] [0, 1, 0, 1]
9 3.177385091781616 Robot: (131, 29, [0, 1, 1, 0]) Solution: [131, 29] [0, 1, 1, 0]
8 1.7701029777526855 Robot: (3, 3, [0, 0, 0, 0]) Solution: [3, 3] [0, 0, 0, 0]
3 0.6293160915374756 Robot: (147, 10, [0, 1, 0, 0]) Solution: [147, 10] [0, 1, 0, 0]
26 5.488497972488403 Robot: (62, 35, [0, 0, 1, 0]) Solution: [62, 35] [0, 0, 1, 0]
3 0.5486788749694824 Robot: (81, 9, [1, 0, 0, 0]) Solution: [81, 9] [1, 0, 0, 0]
8 2.1216886043548584 Robot: (104, 47, [0, 0, 0, 0]) Solution: [104, 47] [0, 0, 0, 0]
7 2.345526695251465 Robot: (129, 29, [0, 0, 0, 1]) Solution: [129, 29] [0, 0, 0, 1]
8 2.731114625930786 Robot: (73, 53, [0, 0, 1, 0]) Solution: [73, 53] [0, 0, 1, 0]
16 4.314946174621582 Robot: (137, 41, [1, 0, 0, 0]) Solution: [137, 41] [1, 0, 0, 0]
11 2.410461902618408 Robot: (111, 17, [0, 0, 1, 0]) Solution: [111, 17] [0, 0, 1, 0]
6 1.1592130661010742 Robot: (78, 51, [1, 0, 0, 0]) Solution: [78, 51] [1, 0, 0, 0]
10 1.9009718894958496 Robot: (19, 23, [0, 1, 0, 0]) Solution: [19, 23] [0, 1, 0, 0]
14 2.727844476699829 Robot: (110, 22, [0, 0, 1, 0]) Solution: [110, 22] [0, 0, 1, 0]
18 3.568484306335449 Robot: (78, 5, [0, 0, 0, 0]) Solution: [78, 5] [0, 0, 0, 0]
10 2.2030324935913086 Robot: (49, 13, [0, 0, 1, 0]) Solution: [49, 13] [0, 0, 1, 0]
8 1.492072582244873 Robot: (153, 11, [0, 1, 0, 0]) Solution: [153, 11] [0, 1, 0, 0]
9 1.7442784309387207 Robot: (79, 13, [0, 0, 0, 0]) Solution: [79, 13] [0, 0, 0, 0]
5 1.0816631317138672 Robot: (49, 49, [0, 0, 0, 0]) Solution: [49, 49] [0, 0, 0, 0]
5 0.8867902755737305 Robot: (54, 49, [1, 0, 1, 0]) Solution: [54, 49] [1, 0, 1, 0]
9 1.8228950500488281 Robot: (65, 41, [1, 1, 1, 0]) Solution: [65, 41] [1, 1, 1, 0]
6 1.4013385772705078 Robot: (17, 13, [1, 0, 0, 1]) Solution: [17, 13] [1, 0, 0, 1]
19 4.093694686889648 Robot: (11, 17, [0, 1, 0, 0]) Solution: [11, 17] [0, 1, 0, 0]
13 2.7433199882507324 Robot: (153, 21, [0, 1, 0, 0]) Solution: [153, 21] [0, 1, 0, 0]
30 8.373817443847656 Robot: (149, 15, [0, 0, 0, 0]) Solution: [149, 15] [0, 0, 0, 0]
7 1.5734546184539795 Robot: (98, 45, [0, 0, 1, 0]) Solution: [98, 45] [0, 0, 1, 0]
19 4.099746227264404 Robot: (69, 19, [0, 0, 0, 0]) Solution: [69, 19] [0, 0, 0, 0]
11 3.2979843616485596 Robot: (30, 16, [0, 0, 1, 0]) Solution: [30, 16] [0, 0, 1, 0]
12 3.9247348308563232 Robot: (146, 10, [1, 0, 0, 1]) Solution: [146, 10] [1, 0, 0, 1]
